,field1,field2,name,field4,field5,field6,_GC_TYPE,longitude,latitude,행정동
128,125,어린이공원,은행나무,서울특별시 강서구 내발산동 753-1,37.552158,126.823201,정,126.82328937639468,37.5521578969154,발산1동
129,130,어린이공원,활주로,서울특별시 강서구 공항동1341,37.554212,126.815978,정,126.8158016147346,37.55433629776645,공항동
130,134,어린이공원,쌈지,서울특별시 강서구 방화동 266-24,37.571268,126.814976,정,126.81499672781148,37.57118105155388,방화1동
131,131,어린이공원,다솔,서울특별시 강서구 공항동1361,37.554428,126.818292,정,126.81836119354952,37.55459273226152,공항동
132,127,어린이공원,원당,서울특별시 강서구 내발산동 650,37.557413,126.842084,정,126.8421397863928,37.55727028696689,우장산동
133,139,어린이공원,도레미,서울특별시 강서구 방화동 184-66,37.571792,126.819136,정,126.81910489936332,37.57184467028098,방화1동
134,132,어린이공원,장미,서울특별시 강서구 공항동668,37.556809,126.813805,정,126.81383315466752,37.556691468897256,공항동
135,136,어린이공원,긴등,서울특별시 강서구 방화동 247-201,37.56802,126.816194,정,126.81622687744292,37.56803887930696,방화1동
136,138,어린이공원,새싹,서울특별시 강서구 방화동 448-5,37.574806,126.812748,정,126.8127943523742,37.57483008424769,방화1동
137,135,어린이공원,개나리,서울특별시 강서구 방화동 569-14,37.573113,126.812217,정,126.8122599854418,37.57312682662704,방화1동
138,133,어린이공원,송정,서울특별시 강서구 공항동42-11,37.560635,126.811276,정,126.81128909557458,37.560667172453925,공항동
139,140,어린이공원,들꽃,서울특별시 강서구 방화동 890-1,37.570615,126.821227,정,126.82122008258516,37.57061552634346,방화1동
141,141,어린이공원,봉선화,서울특별시 강서구 방화동 645-13,37.566522,126.806987,정,126.80703075787729,37.56653531771455,방화2동
142,137,어린이공원,문성,서울특별시 강서구 방화동 608-112,37.564839,126.815435,정,126.8154568070741,37.56488337594731,방화1동
143,149,어린이공원,능말,서울특별시 강서구 방화동 815,37.577955,126.810607,정,126.81060762301824,37.57797259132773,방화3동
144,142,어린이공원,민들레,서울특별시 강서구 방화동 648-13,37.567221,126.806731,정,126.80674763710816,37.56725922856727,방화2동
145,146,어린이공원,샛별,서울특별시 강서구 방화동 558,37.572732,126.809505,정,126.80949559538118,37.57270939394713,방화2동
146,148,어린이공원,은하수,서울특별시 강서구 방화동 853,37.570507,126.806548,정,126.80650089147356,37.57051499926398,방화2동
147,145,어린이공원,목련,서울특별시 강서구 방화동 616-1,37.564958,126.807825,정,126.8078403170267,37.56499738715223,방화2동
149,150,어린이공원,메아리,서울특별시 강서구 방화동 826,37.578615,126.814351,정,126.81437814543555,37.57860923365523,방화3동
150,154,어린이공원,개화,서울특별시 강서구 방화동 818,37.580248,126.812534,정,126.81254338937204,37.58027976268369,방화3동
151,151,어린이공원,느티,서울특별시 강서구 방화동 799,37.579421,126.810313,정,126.81031261430026,37.57938679032018,방화3동
152,147,어린이공원,새싹교통,서울특별시 강서구 방화동 583,37.569485,126.809344,정,126.80943025072382,37.56972719444338,방화2동
154,152,어린이공원,돌샘,서울특별시 강서구 방화동 837,37.576054,126.818966,정,126.81893366675304,37.57608267210794,방화3동
155,153,어린이공원,꿈나무,서울특별시 강서구 방화동 840,37.575194,126.818941,정,126.8189370065564,37.57510938606277,방화3동
157,158,어린이공원,풀잎,서울특별시 강서구 공항동 705,37.556989,126.816565,정,126.816567029599,37.55698997837825,공항동
160,164,소공원,푸른수명산,서울특별시 강서구 화곡동 1091-15,37.5441754178,126.8302685832,정,126.8300881843734,37.54424658366436,화곡3동
163,169,문화공원,새개,서울특별시 강서구마곡동 800-7,37.558287,126.83003,정,126.83009554998368,37.55816265368077,발산1동
165,166,소공원,염창,서울특별시 강서구염창동 309-1,37.549839,126.870745,정,126.87062939575686,37.54980115804695,염창동
166,163,근린공원,마곡지구4호,서울특별시 강서구 마곡동 811-5,37.568317,126.826463,유,126.8338884724065,37.56517272879967,가양1동
167,168,문화공원,탑산(가양동),서울특별시 강서구가양동 1499,37.5661942866,126.8463361298,정,126.84631595648968,37.566216724533135,가양1동
168,170,문화공원,놋다리,서울특별시 강서구마곡동 790-6,37.566207,126.84614,정,126.83634726819236,37.56198710039988,가양1동
169,174,가로공원,가로공원1호,서울특별시 강서구 마곡동 797-5,37.559061,126.837242,정,126.8372092966354,37.55910459051061,가양1동
170,165,소공원,마곡,서울특별시 강서구 마곡동 737-16,37.567478,126.822146,정,126.82196938903374,37.56758128587524,방화1동
171,172,문화공원,선두암,서울특별시 강서구 마곡동 778-4,37.567379,126.83817,정,126.8381384549297,37.56742451611179,가양1동
172,171,문화공원,똘고랑,서울특별시 강서구 마곡동 756-4,37.571433,126.826326,정,126.8279022766704,37.570694573810485,가양1동
173,167,소공원,염창2,서울특별시 강서구염창동 306-1,37.5517215457,126.8738565875,정,126.87386308015463,37.55172700357081,염창동
